threshold,sensitivity,specificity,precision,f1_score
0.43000000000000005,0.8837209302325582,0.7047619047619048,0.2900763358778626,0.4367816091954023
0.44000000000000006,0.8372093023255814,0.707936507936508,0.28125,0.4210526315789473
0.45000000000000007,0.813953488372093,0.7238095238095238,0.28688524590163933,0.4242424242424242
0.4600000000000001,0.7906976744186046,0.7365079365079366,0.2905982905982906,0.42500000000000004
0.4700000000000001,0.7906976744186046,0.7523809523809524,0.30357142857142855,0.4387096774193548
0.4800000000000001,0.7906976744186046,0.7523809523809524,0.30357142857142855,0.4387096774193548
0.4900000000000001,0.7906976744186046,0.765079365079365,0.3148148148148148,0.4503311258278146
0.5000000000000001,0.7906976744186046,0.7746031746031746,0.3238095238095238,0.45945945945945943
0.5100000000000001,0.7906976744186046,0.7936507936507936,0.3434343434343434,0.47887323943661964
0.5200000000000001,0.7906976744186046,0.8,0.35051546391752575,0.4857142857142857
0.5300000000000001,0.7906976744186046,0.8095238095238095,0.3617021276595745,0.4963503649635036
0.5400000000000001,0.7441860465116279,0.8126984126984127,0.3516483516483517,0.4776119402985074
0.55,0.6976744186046512,0.819047619047619,0.3448275862068966,0.4615384615384615
0.56,0.6976744186046512,0.8285714285714286,0.35714285714285715,0.4724409448818898
0.5700000000000001,0.6976744186046512,0.8380952380952381,0.37037037037037035,0.48387096774193544
0.5800000000000001,0.6511627906976745,0.8380952380952381,0.35443037974683544,0.459016393442623
0.5900000000000001,0.627906976744186,0.8539682539682539,0.3698630136986301,0.46551724137931033
0.6000000000000001,0.6046511627906976,0.8571428571428571,0.36619718309859156,0.456140350877193
0.6100000000000001,0.6046511627906976,0.8571428571428571,0.36619718309859156,0.456140350877193
0.6200000000000001,0.5581395348837209,0.8634920634920635,0.3582089552238806,0.43636363636363634
0.6300000000000001,0.5581395348837209,0.8698412698412699,0.36923076923076925,0.4444444444444445
0.6400000000000001,0.5581395348837209,0.873015873015873,0.375,0.4485981308411215
0.6500000000000001,0.5581395348837209,0.8793650793650793,0.3870967741935484,0.45714285714285713
0.6600000000000001,0.5348837209302325,0.9015873015873016,0.42592592592592593,0.4742268041237113
0.6700000000000002,0.5348837209302325,0.9047619047619048,0.4339622641509434,0.47916666666666663
0.6800000000000002,0.5116279069767442,0.9079365079365079,0.43137254901960786,0.46808510638297873
0.6900000000000002,0.5116279069767442,0.9174603174603174,0.4583333333333333,0.4835164835164835
0.7000000000000002,0.4883720930232558,0.926984126984127,0.4772727272727273,0.4827586206896552
0.7100000000000002,0.46511627906976744,0.9301587301587302,0.47619047619047616,0.4705882352941176
0.7200000000000001,0.46511627906976744,0.9365079365079365,0.5,0.4819277108433735
0.7300000000000001,0.4186046511627907,0.9365079365079365,0.47368421052631576,0.4444444444444444
0.7400000000000001,0.4186046511627907,0.9396825396825397,0.4864864864864865,0.45
0.7500000000000001,0.3953488372093023,0.9428571428571428,0.4857142857142857,0.43589743589743585
0.7600000000000001,0.3953488372093023,0.946031746031746,0.5,0.44155844155844154
0.7700000000000001,0.3953488372093023,0.946031746031746,0.5,0.44155844155844154
0.7800000000000001,0.3953488372093023,0.9492063492063492,0.5151515151515151,0.4473684210526315
0.7900000000000001,0.3953488372093023,0.9555555555555556,0.5483870967741935,0.45945945945945943
0.8000000000000002,0.37209302325581395,0.9650793650793651,0.5925925925925926,0.45714285714285713
0.8100000000000002,0.37209302325581395,0.9682539682539683,0.6153846153846154,0.463768115942029
0.8200000000000002,0.3023255813953488,0.9714285714285714,0.5909090909090909,0.39999999999999997
0.8300000000000002,0.3023255813953488,0.9777777777777777,0.65,0.4126984126984127
0.8400000000000002,0.27906976744186046,0.9777777777777777,0.631578947368421,0.3870967741935483
0.8500000000000002,0.2558139534883721,0.9777777777777777,0.6111111111111112,0.36065573770491804
0.8600000000000002,0.23255813953488372,0.9841269841269841,0.6666666666666666,0.3448275862068966
0.8700000000000001,0.20930232558139536,0.9873015873015873,0.6923076923076923,0.32142857142857145
0.8800000000000001,0.20930232558139536,0.9873015873015873,0.6923076923076923,0.32142857142857145
0.8900000000000001,0.20930232558139536,0.9936507936507937,0.8181818181818182,0.33333333333333337
0.9000000000000001,0.18604651162790697,0.9936507936507937,0.8,0.3018867924528302
0.9100000000000001,0.18604651162790697,0.9968253968253968,0.8888888888888888,0.3076923076923077
0.9200000000000002,0.16279069767441862,1.0,1.0,0.28
0.9300000000000002,0.16279069767441862,1.0,1.0,0.28
0.9400000000000002,0.16279069767441862,1.0,1.0,0.28
