param_type,group_id,bmi_noise_std,age_noise_std,gc_noise_std,c_min,p_target,achievement_time_mean,achievement_time_std,achievement_time_min,achievement_time_max,success_prob_mean,success_prob_std,n_runs
feature_noise,0,0.0,3.0,0.0015154079576526617,0.04,0.75,133.44,1.6432918679483892,131.0,137.0,0.6929904172018272,0.006638638959829389,50
feature_noise,0,0.0,3.0,-0.0007551006889706117,0.04,0.75,134.02,1.8679902984496577,130.0,139.0,0.6906574620602332,0.007243820493977925,50
feature_noise,0,0.0,3.0,0.06980457846223719,0.04,0.75,134.2,1.7023393268304265,131.0,138.0,0.6901275907557358,0.006783534830555373,50
feature_noise,0,0.0,3.0,0.12993469305535404,0.04,0.75,134.1,1.7291026338443145,130.0,139.0,0.6907233428532771,0.006620854838257017,50
feature_noise,0,0.2,0.0,0.0,0.04,0.75,133.92,0.27404751561786966,133.0,134.0,0.6912551839781238,0.0010742815459937622,50
feature_noise,0,0.2,0.0,0.0006101485541420536,0.04,0.75,133.96,0.282842712474619,133.0,135.0,0.6913875981377628,0.0009412096549620037,50
feature_noise,0,0.2,0.0,0.006365824053062295,0.04,0.75,133.88,0.3282607226593159,133.0,134.0,0.6914692900500473,0.0009070724791339047,50
feature_noise,0,0.2,0.0,0.025955149897841086,0.04,0.75,133.92,0.3958973274443148,133.0,135.0,0.6912276449763135,0.001317814715275674,50
feature_noise,0,0.2,0.0,-0.05002148587562626,0.04,0.75,133.84,0.5841442371503106,133.0,135.0,0.691392373288297,0.0018008133677431017,50
feature_noise,0,0.2,0.5,0.0,0.04,0.75,133.9,0.5050762722761054,133.0,135.0,0.6913985733201854,0.001713523278030604,50
feature_noise,0,0.2,0.5,-0.004260855702310654,0.04,0.75,133.88,0.47979587496419046,133.0,135.0,0.691473825847361,0.0015828232385255605,50
feature_noise,0,0.2,0.5,0.0168840238138577,0.04,0.75,133.84,0.3703280399090207,133.0,134.0,0.691444365116932,0.001575898771370166,50
feature_noise,0,0.2,0.5,-0.05110436229883484,0.04,0.75,133.82,0.38808793449160356,133.0,134.0,0.6916692369099643,0.001353825380868272,50
feature_noise,0,0.2,0.5,-0.08759244140817352,0.04,0.75,133.94,0.5858884758402823,133.0,135.0,0.6911857758677058,0.0020609832197379828,50
feature_noise,0,0.2,1.0,0.0,0.04,0.75,134.0,0.6700593942604899,133.0,135.0,0.6908092753294102,0.0026980090309506924,50
feature_noise,0,0.2,1.0,-0.010051063888453775,0.04,0.75,133.84,0.6502746672423453,133.0,135.0,0.6914307533944085,0.002208495545955694,50
feature_noise,0,0.2,1.0,-0.036939923543812536,0.04,0.75,133.9,0.6468132241526726,133.0,135.0,0.6913049962991916,0.002601025083562368,50
feature_noise,0,0.2,1.0,-0.001835359780949767,0.04,0.75,134.02,0.7420325093268887,133.0,135.0,0.6907691410371821,0.0026277088358771595,50
feature_noise,0,0.2,1.0,-0.1382761606092826,0.04,0.75,134.08,0.6951728606055109,132.0,135.0,0.6905380005804038,0.0026592521316115485,50
feature_noise,0,0.2,2.0,0.0,0.04,0.75,133.92,1.3376799897965286,131.0,136.0,0.691306330523384,0.005231563809402303,50
feature_noise,0,0.2,2.0,-0.005603514924222011,0.04,0.75,133.96,1.1598733217248252,131.0,136.0,0.6913397826769596,0.004608525504520457,50
